iter	Passed	Remaining
945	12778	729
946	12792	715
947	12804	702
948	12816	688
949	12828	675
950	12839	661
951	12851	647
952	12863	634
953	12877	620
954	12891	607
955	12906	594
956	12921	580
957	12933	567
958	12946	553
959	12959	539
960	12972	526
961	12984	512
962	12996	499
963	13009	485
964	13021	472
965	13033	458
966	13045	445
967	13057	431
968	13069	418
969	13084	404
970	13096	391
971	13108	377
972	13120	364
973	13132	350
974	13144	337
975	13156	323
976	13169	310
977	13182	296
978	13194	283
979	13205	269
980	13219	256
981	13235	242
982	13251	229
983	13266	215
984	13282	202
985	13298	188
986	13312	175
987	13324	161
988	13336	148
989	13347	134
990	13359	121
991	13370	107
992	13382	94
993	13394	80
994	13407	67
995	13418	53
996	13429	40
997	13440	26
998	13452	13
999	13464	0
